Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
BackBone Ventures,https://www.backboneventures.ch/,"Bellerivestrasse 2, 8008, Zurich, Switzerland","Switzerland,Germany,Austria,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage startups, primarily in the area of innovative ICT, FoodTech and disruptive technologies in DACH & Israel.",VC,"$100,000","$1,100,000"
Backed VC,https://www.backed.vc/,"8 Printing House Yard, London, England E2 7PR, GB",UK,"2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","We invest in founders over markets, so we're mostly sector-agnostic. Investors like to fantasize about the future, but founders forge it. That’s why we’ve followed some of Europe’s boldest entrepreneurs to every frontier from Cellular Agriculture to next-gen Popular Entertainment. We also believe you are your company’s most important asset. This is especially true at Seed. Even at the edges of DeepTech, the people you hire and the culture you foster will disproportionately define your future success. That’s why we focus on helping our founders scale as leaders.",VC,"$250,000","$3,000,000"
BackFuture Ventures,https://www.backfuture.vc/,London,"USA,UK,Canada,Greece,Ireland,Israel,Poland,Spain,Sweden,Switzerland,Turkey","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in B2B SaaS at pre-seed and seed companies.  We invest globally, but look to connect and engage with founders in the EU, UK, and US.",VC,"$100,000","$200,000"
Badhouse Ventures,https://badhouse.ca,"666 Burrard St, Vancouver, BC, Canada",Canada,"2. Prototype,3. Early Revenue","We invest in very early-stage software (SaaS, web3, etc.) startups solving problems that fall under two themes: smarter communities and/or smarter data systems. We have a strong Western Canada (West of Toronto) selection bias given the acute Pre-Seed funding/investment gap in this region compared to others.",VC,"$10,000","$150,000"
BADideas.fund,https://badideas.fund,"Riga, Latvia","Albania,Belarus,Czech Republic,Estonia,Latvia,Lithuania,Moldova,Poland,Romania,Slovakia,Slovenia,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in post-MVP CEE rooted founders, primarily B2B SaaS and marketplace.
Led by helpful founders & operators. Among members/investors - 200 founders and operators from 20 countries, who’ve been building such companies as Vimeo ($450M funding), Printify ($54M), Pandadoc ($51M), Pipedrive ($90M), Bolt ($2B funding), etc.",Angel network,"$50,000","$1,000,000"
Bahman Capital,http://bahmancapital.com/,"Sharif University innovation zone, Tehran",Iran,"3. Early Revenue,2. Prototype,4. Scaling",We invest in software innovative solutions and industrial hightech initiatives.,VC,"$20,000","$500,000"
Balnord,https://www.balnord.vc/,"2562, Place de Strasbourg 2,  Luxembourg","Poland,Lithuania,Latvia,Estonia,Finland,Denmark,Sweden,Norway","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in deep tech and dual use technologies especially in verticals like SpaceTech, Healthcare and Supply Chain.",VC,"$500,000","$2,000,000"
Baloise Mobility,https://www.baloise.com/mobility,"Aeschengraben 21, Basel, 4002, CH","Germany,Switzerland,Belgium,Luxembourg,Spain,France,Italy,Denmark,Sweden,Finland","2. Prototype,3. Early Revenue,4. Scaling",We invest in Mobility startups with a focus on services and or software businesses.,Corporate VC,"$500,000","$5,000,000"
Banana Capital,https://www.bananacapital.vc/,"Ann Arbor, MI, USA","USA,Canada,UK,France,Germany,Mexico,Nigeria,Kenya,Egypt,India,""Eswatini (fmr. """"Swaziland"""")"",Indonesia,Thailand,Vietnam,South Korea,Japan,Brazil,Argentina,Colombia,Peru","2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in consumer and bottoms-up enterprise products,VC,"$25,000","$300,000"
Banca Generali,https://www.bancagenerali.com/en/about-us/bg-4-real,"Piazza 3 Torri 1, 20145, Milano, Italy",Italy,"5. Growth,6. Pre-IPO,4. Scaling",We invest in scaleups within different sectors through a fund dedicated to Banca Generali customers. Our ticket may range from $1M to $3M.,Other,"$1,000,000","$3,000,000"
Bangchak Initiative and Innovation Center,https://www.bangchak.co.th/en/greenovation/biic,"2098 M Tower Building, 8th Floor, Sukhumvit Road, Phra Khanong Tai, Phra Khanong, Bangkok 10260 Thailand","Canada,USA,India,Thailand,France,Germany,Italy,Norway,Spain,Switzerland,UK,Australia,New Zealand","2. Prototype,3. Early Revenue,4. Scaling","We invest in Cleantech / ClimateTech / Sustainability, hydrogen, green molecules, CCUS, biosciences -(therapeutics, diagnostics, and devices, sustainability and synthetic biology) along with ideas that could help accelerate net zero with radical, cutting edge ideas and technology.

",Corporate VC,"$500,000","$5,000,000"
Bangladesh Angels Network,https://www.bdangels.co/,"ICT Tower, 15th Floor, Plot: E-14/X, Agargaon Dhaka 1207",Bangladesh,"3. Early Revenue,4. Scaling,2. Prototype","We invest in innovative, high-growth companies of Bangladeshi origin. As long as there's some sort of a connection to Bangladesh, we are eager to look in. It may be that the founding team is non-Bangladeshi but the company has plans to expand into the Bangladeshi market - such companies are welcome to apply. We welcome entrepreneurs from all backgrounds including first-time entrepreneurs or those who have failed in their earlier attempts. Here’s what we look for:

High-quality, passion and resilience of the management team
First of a kind, innovative idea/model with a large potential to scale
High barriers to entry (or) a competitive advantage
Established proof of concept",Angel network,"$50,000","$500,000"
Bankinter VC,https://www.fundacionbankinter.org/en/startups/,"Paseo de la Castellana 29, Madrid, Spain","Spain,Portugal,Ireland","3. Early Revenue,4. Scaling","We invest in Series A rounds from companies based in the countries where the bank has activity (Spain, Portugal, Ireland..).",VC,"$500,000","$1,500,000"
Barak Edut,,Tel Aviv,"USA,China,Hong Kong,Finland,France,UK,Israel","2. Prototype,3. Early Revenue,4. Scaling","I invest in scalable, consumer-focused products or platforms that have demonstrated strong product-market fit and are poised for growth.",Solo angel,"$5,000","$100,000"
Barkawi Group,https://barkawi.com/,"Baierbrunner Str. 21, 81377 Munich, Germany",Germany,"2. Prototype,3. Early Revenue,4. Scaling","We invest in ventures who are reshaping global supply chains through technology
",Family office,"$100,000","$500,000"
Base Capital,https://www.basecapital.io/,"33 Wesley Street, Cape Town 8001, Western Cape, South Africa","Australia,New Zealand,South Africa,Kenya,Egypt,Senegal,UK,USA,UAE,Saudi Arabia,Bangladesh,Vietnam,Thailand,Indonesia,Malaysia,Philippines,India,France,Ireland,Spain,Germany,Netherlands,Italy,Portugal,Turkey,South Korea,Hong Kong,Singapore,Argentina,Colombia,Brazil,Peru,Mexico,Chile,Uruguay,Austria,Belgium,Côte d'Ivoire,Denmark,Ethiopia,Ghana,Jordan,Japan,Mauritius,Nigeria,Norway,Pakistan,Rwanda,Uganda,Tanzania","3. Early Revenue,4. Scaling,5. Growth","We invest in Network models. Classifieds, marketplaces, fintech, vertical SaaS.",VC,"$500,000","$5,000,000"
Base64 Capital,https://www.base64capital.com/,"447 Broadway 2nd FL #124 New York, NY 10013",USA,"3. Early Revenue,4. Scaling",We invest in companies that provide software driven solutions for large enterprise customers.,VC,"$500,000","$1,500,000"
Baukunst,https://baukunst.co/,"San Francisco, CA","USA,Canada,UK","2. Prototype,3. Early Revenue","We invest in ambitious companies at the frontiers of technology and design.

We are independent minded and invest with conviction. We lead pre-seed rounds out of our inaugural $100M fund and often invest the full round ourselves.",VC,"$500,000","$1,500,000"
Bay Street Capital Holdings,https://baystreetcapitalholdings.com,"14 Wall Street, New York City, NY, USA",USA,3. Early Revenue,We invest in first time fund managers.,Other,"$250,000","$2,000,000"
BBG Ventures,https://www.bbgventures.com/,"29 Little West 12th Street, New York, NY 10014, US",USA,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in companies with at least one female founder. We look for B2C or B2B companies reshaping the lives of millions. We're currently most excited by broken systems in big areas of the consumer economy such as health & wellbeing, future of work and education, climate-friendly consumption, overlooked consumer - but a great female founder always wins.",VC,"$500,000","$1,000,000"
BCF Ventures,https://bcfventures.vc/,"1100 Boulevard René-Lévesque O, Montréal, Québec CA","Canada,USA,Israel","3. Early Revenue,4. Scaling","We invest in B2B Cloud & SaaS Enterprise startups leveraging the power of Artificial Intelligence, Big Data, Analytics and Security. While we invest across industries, we have special attention to Finance, Healthcare, Education, Logistics & Supply Chain, Advanced Manufacturing, Transportation, and Aerospace.

We are passionate about disruptive technologies and the business opportunities that these create. We are looking for innovation pioneers challenging the status quo in traditional sectors, or dramatically improving legacy processes. The companies we fund must have some type of key science or technological innovation leading to the development of intellectual property rights.",Corporate VC,"$50,000","$1,000,000"
BCVP Bull City Venture Partners,https://www.bcvp.com,201 West Main Street Suite 100 PMB 205  Durham NC 27701,USA,"3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We invest in Software, Internet, Mobile, Health IT and E-Commerce 

We are located in Durham, North Carolina. Because of that, most of the activity we see is in the Southeast and Mid-Atlantic regions. But we will consider any great entrepreneur.

We are seed and early-stage investors and often that means we are the first institutional investor. But when there is an exceptional opportunity, we will be opportunistic and invest in growth-stage companies. ",VC,"$100,000","$5,000,000"
BDC Capital,https://www.bdc.ca/en/bdc-capital,"5 Place Ville Marie, Ground floor Montreal, Quebec H3B 5E7",Canada,"2. Prototype,3. Early Revenue,4. Scaling",We invest in Canada-based early-stage B2B startups solving technical problems in the enterprise and across industries.,VC,"$500,000","$7,500,000"
BDev Ventures,https://bdevventures.com/,"800 W. El Camino Real, Suite 180, Mountain View CA, 94040, USA","Brazil,Canada,Mexico,USA,UK,Australia","3. Early Revenue,4. Scaling,5. Growth","We invest in B2B businesses that target large markets in terms of contacts and have moved beyond founder-led sales. We are generalists and have invested in SaaS, HR tech, and fintech, among many others.",VC,"$50,000","$3,000,000"
Beacon Capital (UK),https://www.beaconcapital.co.uk/,"London, England W2 6BD , GB","UK,Portugal,Spain,France,Italy,Germany,Belgium,Ireland,Austria,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,Greece,Hungary,Latvia,Lithuania,Netherlands,Norway,Poland,Romania,Russia,Ukraine,Monaco,Luxembourg,Cyprus,Malta","2. Prototype,3. Early Revenue",We invest in post-Seed / pre-Series A B2B tech startups in Europe.,VC,"$300,000","$1,200,000"
Beamonte Investments,https://www.beamonte.com/,"369 Lexington Ave, New York, NY 10017, US","Canada,Mexico,USA,Spain","3. Early Revenue,4. Scaling",,Family office,,
Beams Fintech Fund,https://beams.vc/,"Mumbai, India",India,"6. Pre-IPO,4. Scaling,5. Growth","We Invest in companies operating at the intersection of Financial Services & Technology. Beams Fintech Fund is India’s 1st Growth Stage (Series B & C) Focussed Fintech Private Equity Fund. Our Fund will create a concentrated portfolio of 10-12 investments by investing $10 -$12 Mn in high-quality Fintech founders & companies in their Series B & C rounds ($100-500 Mn EV). We follow a thesis-driven approach towards investments & have narrowed it down to the following themes for the Fund: Embedded Finance, Platforms & Technologies for the Incumbents or Disrupting the Incumbents, Global Enterprises SAAS, Open Banking & Digital Financial Inclusion.",VC,"$7,000,000","$12,000,000"
Because Ventures,https://because.ventures/,"110 Corcoran St, 5th Fl Durham NC 27701, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in US eCommerce companies with social impact,VC,"$50,000","$500,000"
Bedford Bridge,https://www.bedfordbridge.com/,"220 Riverside Blvd, New York, NY 10069","USA,Canada,Israel,UK","3. Early Revenue,4. Scaling,5. Growth","We invest in high performance healthcare companies at the convergence of technology and biology. We focus on 4 key themes: connectivity, platform innovation, payments and deep technology. This includes: distributed care, virtual care, wearables, patient empowerment, artificial intelligence, mental health and holistic care solutions, chronic disease management, data analysis, alternative drug pricing, value-based care, care efficiency, preventative medicine, synthetic biology, nanotechnology, personalized medicine, gene editing, and more",VC,"$2,000,000","$20,000,000"
Beeso Studio,https://www.beeso.io/,"6818 Grover St Suite #107, Omaha, NE 68106",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We partner with early-stage software startups to apply expertise in software development, operations, marketing, sales and fundraising to help you launch and scale. The best technical partner to get software startups from 0-1.",Startup studio,$0,$0
Begin Capital,https://www.begincl.com/,"London, UK","USA,UK,Germany,France,Spain,Netherlands,Belgium,Poland,Italy,Austria,Ireland,Sweden,Finland,Denmark,Czech Republic,Norway,Switzerland,Hungary,Latvia,Estonia,Lithuania,Canada,Ukraine","3. Early Revenue,4. Scaling,5. Growth","We invest in experienced founders with bold ideas, proven hypothesis and first revenue.",VC,"$200,000","$3,000,000"
Behzad Nouri,,"Austin, TX, USA","Canada,USA,Switzerland,UAE","1. Idea or Patent,6. Pre-IPO",I invest in primarily technology companies.,Solo angel,"$10,000","$100,000"
Ben Trenda,,"San Francisco, CA, USA","USA,France,Germany,Switzerland,UK",1. Idea or Patent,"I invest in network effects businesses , GTM tools and platforms that improve lives.",Solo angel,"$10,000","$50,000"
Berkeley SkyDeck,https://skydeck.berkeley.edu,2150 Shattuck Ave Penthouse Berkeley CA 94704,"Germany,UK,Japan,Australia,France,Italy,Netherlands","5. Growth,4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in and accelerate transformational startups from outside of the US. We love deeptech, biotech, quantum computing, spacetech, AI, battery technology and everything that involves heavy research and academic efforts. Startups must have raised less than $1M to apply. ","Incubator, Accelerator","$200,000","$200,000"
Besant Capital,https://besantcapital.com/,"Calle de serrano 16, piso 1, Madrid, Spain","Spain,Germany,USA,France,UK,Israel,Italy","4. Scaling,5. Growth,6. Pre-IPO","We co-invest in SaaS, fintech and deeptech companies in Europe, Isreal and the US.",VC,"$500,000","$3,000,000"
Best Nights VC,https://bestnights.vc/,"Rochstrasse 16, 10178 Berlin, Germany","Nigeria,South Africa,Mexico,USA,China,Hong Kong,India,Indonesia,Japan,Austria,Belgium,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,Egypt,Morocco,Australia","2. Prototype,3. Early Revenue,4. Scaling",We invest in ConsumerTech companies reshaping social interactions. We look globally from Pre-Seed to Series A (€300k-1M ticket size).,Corporate VC,"$300,000","$1,000,000"
Beta Boom,https://betaboom.com/,"Salt Lake City, UT",USA,3. Early Revenue,"We invest in software solutions created to address meaningful problem spaces affecting average American people and businesses.

Key areas are in digital health, fintech, and SaaS",VC,"$100,000","$400,000"
Beta Lab,https://blab.com.sa/,"Takhassusi street, Riyadh Saudi Arabia","USA,Canada,South Korea,Germany,Ukraine,France,Luxembourg,UK","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early stage through series A deep tech (biotech and AI) ventures,VC,"$100,000","$5,000,000"
Beta University,https://www.betauniversity.org/,"555 Hamilton Avenue, Palo Alto, CA",USA,"1. Idea or Patent,2. Prototype","We are sector agnostic and help pre-revenue, pre-product startups go from 0 to 0.5","Incubator, Accelerator",$0,$0
Better Tomorrow Ventures,http://btv.vc/,"San Francisco, CA, USA","Mexico,Indonesia,Nigeria,Ghana,Kenya,India,Brazil,USA,Canada,Israel,Vietnam","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in seed-stage Fintech,VC,"$250,000","$2,000,000"
Better Ventures,https://www.better.vc/,"470 25th St, Oakland, CA, 94612",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-seed/seed mission-driven founders leveraging breakthrough science and technology in climate/sustainability, digital health, and education/workforce development. We invest in software, data science, and life sciences, primarily B2B models, and look for technical founders/teams.",VC,"$500,000","$1,000,000"
better ventures,https://www.betterventures.io/,"Munich, Germany",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue","We only invest in Impact. Impact is defined as being positive for the planet or society. On the planetary side we invest in resources, ecosystems and climate, on the societary side we invest in new work, education and health. ",Angel network,"$25,000","$800,000"
Beyond Capital,https://www.joinbeyond.co/,"London, UK","USA,UK,France,Germany,Singapore,Australia,Canada,Israel,Switzerland,Sweden,Finland,Poland,Netherlands,Ireland,Norway,Spain","1. Idea or Patent,2. Prototype,4. Scaling,5. Growth,3. Early Revenue","We invest in most sectors SaaS, Fintech, defence, enterprise, proptech, medtech etc. in Pre-seed, Seed, Series A. Solid traction & co-investors always helps",VC,"$100,000","$500,000"
BFG Blockchain Founders Group,https://en.blockchain-founders.io/,Haardter Straße 13 67433 Neustadt an der Weinstraße,"Canada,USA,Austria,Belgium,Denmark,France,Germany,Ireland,Italy,Liechtenstein,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage web3 startups (pre-seed and seed).,"Incubator, Accelerator","$50,000","$200,000"
BFM Fund,https://www.bfm.fund/,"888 SW 5th Ave #1600, Portland, OR 97204",USA,"3. Early Revenue,4. Scaling",We invest in industry agnostic seed-stage US-Based Black Founders leading innovative revenue-generating startups.,VC,"$50,000","$100,000"
BGV Behind Genius Ventures,https://www.behindgeniusventures.com/,"1456 Manhattan Beach Blvd, Manhattan Beach, CA 90266",USA,"2. Prototype,1. Idea or Patent,3. Early Revenue",We invest in product-led growth startups at the pre-seed/seed stage.,VC,"$100,000","$200,000"
BGV Benhamou Global Ventures,https://benhamouglobalventures.com/,"540 Cowper Street, Palo Alto, CA 94301, United States","USA,France,Israel,India",3. Early Revenue,"We invest in Enterprise 4.0, a next generation of Enterprise Software, which are combining 3 main elements: AI, intelligent automation and unique data set. We are 100% focused on cross-border investments, investing in companies that are conceived outside the US and helping them position themselves in the US. Main focus: Future of Work, Vertical AI platforms (focusing on 1 industry such as retail, manufacturing, logistics, insurtech or focusing on 1 function such as Customer Sucess, Sales, etc), e-commerce, DevOps, Cybersecurity",VC,"$250,000","$5,000,000"
BGV Bethnal Green Ventures,https://bethnalgreenventures.com,"20-30 Whitechapel Road, London E1 1EW, UK",UK,"3. Early Revenue,2. Prototype",We invest in ambitious teams using technology to tackle social and environmental problems and drive positive outcomes for people and planet at scale.,VC,"$42,000","$140,000"
BH3 Growth Equity,https://bh-3.com/investment-strategies/,"56 West 22nd Street, 10th Floor, New York, NY 10010","USA,Canada","4. Scaling,5. Growth,6. Pre-IPO,3. Early Revenue","We invest in proptech, construction technology, sustainable building materials, modular construction, property management, hotels & hospitality and other adjacent real estate and construction sectors.",PE fund,"$5,000,000","$30,000,000"
Bienville Capital,https://www.bienvillecapital.com/,"335 Madison Ave, New York, 10017, US",USA,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in early-stage tech enabled businesses, with a generalist focus. Sectors we have invested in include software, fintech, consumer internet, B2B marketplaces, biotech, web3/metaverse and hardtech",Family office,"$500,000","$3,000,000"
Big Idea Ventures,https://bigideaventures.com/,"88 Pine Street, New York City, USA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in alternative proteins, plant-based products, fermentation and cell-based technologies, agtech. Our thesis is to remove the human reliance off of the animal ecosystem. ",VC,,
Big Sky Capital,https://bigskycapital.co/,Singapore,"Singapore,Indonesia,Malaysia,Kazakhstan,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B SaaS, Fintech, Medtech, Agritech, Industrial tech, web3, AI startups",VC,"$50,000","$500,000"
Big Sur Ventures,https://www.bigsurventures.vc/,"Madrid, Spain","Austria,Belgium,Brazil,Colombia,Croatia,Czech Republic,Cyprus,Denmark,Estonia,Finland,France,Germany,Italy,Mexico,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK","3. Early Revenue,2. Prototype","We invest in seed-stage companies within internet, software and IT. We are sector agnostic and look for highly scalable projects with credible unit economics, whether B2B, B2C or B2B2C",VC,"$100,000","$1,000,000"
big_bets,https://bigbets.tech/,"São Paulo, Brazil","Brazil,USA,India,Indonesia,Belgium,Czech Republic,Denmark,Finland,France,Germany,Hungary,Ireland,Italy,Netherlands,Norway,Poland,Portugal,Spain,Sweden,UK,Israel,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in founders trying to create the largest tech companies of the next generation.,VC,"$300,000","$2,000,000"
Bigspace Investments Ltd,https://bigspaceinvestments.com/,"Limassol, Cyprus","Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,UK,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in any good and genuine idea and we are sector-agnostic. However, we are a bit biased towards companies that operate as SaaS and Marketplaces in industries like FinTech, Cybersecurity, LegalTech and MedTech.



",VC,"$25,000","$500,000"
BimTek Group,https://bimtek.co.in/,"Delhi, India","India,Singapore","5. Growth,6. Pre-IPO","We invest in Real Estate, Infrastructure, Consumer Tech",Family office,"$3,000,000","$20,000,000"
Bin Yang,,New York,USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in vertical in healthcare tech, fintech, cpg and deep tech, pre-seed to series A",Solo angel,"$300,000","$4,000,000"
Binnacle Group,https://www.linkedin.com/company/thebinnaclegroup/,"76 Elm St, New Canaan, Connecticut 06840, US",USA,"3. Early Revenue,2. Prototype,4. Scaling,5. Growth","We invest in Blockchain, Carbon & sustainability, VR/XR software and hardware, haptics, Longevity (tele wellness/clinics), supply chain technology",Family office,"$50,000","$1,000,000"
BIP Capital,https://www.bip-capital.com/,"3575 Piedmont Road NE, Building 15 Suite 730, Atlanta, Georgia 30305, USA","USA,Canada","3. Early Revenue,4. Scaling","We invest at seed and Series A in B2B SaaS, Healthcare IT, Fintech, Digital Media and Entertainment, Developer Tools, and Frontier Tech startups.

At Seed, we like companies to have launched a product, have some users and early revenue.

At Series A we like companies doing $750k+ in ARR.",VC,"$100,000","$10,000,000"
Birchal First,http://birchal.com,"1 Gordon St, Suite 2.04, Cremorne, Victoria 3121, AU",Australia,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We Invest in hardware technology business, sector and industry agnostic, headquartered in Australia",Angel network,"$10,000","$5,000,000"
Biss Capital,https://www.facebook.com/102902038246687/posts/389322519604636/?app=fbl,Awendje/Libreville,Gabon,3. Early Revenue,Investisseurs,Startup studio,$0,$0
Bitdefender Voyager Ventures,https://www.bitdefender.com/company/voyager-ventures.html,"Bucharest, Romania","Austria,Belgium,Bulgaria,Canada,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Gibraltar,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Singapore,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,UK,Ukraine,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest in 
- Cybersecurity, Data Analytics, Automation, Digital Infrastructure, Quantum Tech
- Pre-Seed, Seed and Series A - however, startups should have an early  product/service (and potentially one tentative customer)",Corporate VC,"$200,000","$1,000,000"
Bitrock Capital,http://www.bitrockpartners.com,Singapore,"Hong Kong,China,USA,UAE,Saudi Arabia,Singapore,UK,Switzerland,Indonesia,South Korea","3. Early Revenue,4. Scaling,5. Growth",We in (1) digital asset infrastructure including regulated institutions for mainstream adoption; (2) blockchain fintech applications; and (3) SaaS and data that support the application of blockchain technologies.,VC,"$500,000","$15,000,000"
BK-XL,https://bk-xl.com/,"219 36TH ST, BROOKLYN NY 11232",USA,"2. Prototype,3. Early Revenue,1. Idea or Patent","BK-XL is an early-stage, industry-agnostic startup accelerator program focused on supporting underrepresented founders who want to build in Brooklyn. We specialize in helping high-potential founders prepare their companies to be investment-ready and for venture scaling.","Incubator, Accelerator","$125,000","$500,000"
BKR Capital,https://www.bkrcapital.ca/,"16 McAdam Avenue, Suite 1, Toronto, ON, M6A 0B9","Canada,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest in promising black founders in the technology space. 

At BKR Capital, we want funding to be more accessible to innovative companies led by black teams to build wealth for our community and enrich the venture capital space. Our vision is to create a business ecosystem that is more inclusive, from a portfolio perspective - through a wider number of black-led companies receiving catalytic funding, and from an investors perspective - through a wider number of young black professionals trained to become investment managers. ",VC,"$200,000","$1,500,000"
Black Capital Ventures,https://blackcapitalventures.com,"Copenhagen, Denmark","Norway,Sweden,Denmark,Finland","1. Idea or Patent,2. Prototype",We invest in technology focused startups preferably within deep-tech.,VC,"$100,000","$1,000,000"
Black Diamond Ventures,https://bdventures.com/,"450 N. Brand Blvd., Suite 600, Glendale, CA 91203, US",USA,"1. Idea or Patent,3. Early Revenue,4. Scaling,5. Growth","We invest in companies raising Series B and growth capital in our focus sectors – deep tech and biotech – including verticals in AI and ML, big data, materials science, and semiconductors. We invest in visionary founders offering proprietary tech/ product solutions designed for a large and quantifiable market within a B2B or B2B2C business model.",VC,"$25,000","$5,000,000"
Black Jays Investments,https://www.blackjays.vc/,"35 9th Ave, New York, NY 10014",USA,"3. Early Revenue,2. Prototype","We invest across consumer tech, marketplaces, and creator tools. ",VC,"$50,000","$250,000"
Black Nova Venture Capital,https://blacknova.vc/,"11 Albion Way, Surry Hills, NSW, Sydney, Australia",Australia,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in founders solving persistent, overlooked problems in business through vertical B2B software. These solutions are typically essential, deeply embedded in workflows, and designed for long-term value, rather than hype.

Black Nova’s investment thesis is that “boring is better.” ",VC,"$25,000","$1,000,000"
Black Pearls VC,https://blackpearls.vc/,"Olivia Four, entr. 1st floor, al. Grunwaldzka 472, Gdańsk, Pomerania 80-309, PL","Denmark,Estonia,Finland,Germany,Latvia,Lithuania,Norway,Poland,Sweden","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in defensible technology companies from Northern and Central Europe. We are an early-stage fund and can invest anywhere between pre-seed and Series A with a ticket ranging from $100k and $1M.,VC,"$100,000","$1,000,000"
Black Seed Ventures,https://www.blackseedvc.co.uk/,"Coldharbour Lane Unit 63, Brixton Village, London SW9 8PS England",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest tech or tech-enabled businesses where one of the founders or executive member identifies as a black person(s).,VC,"$250,000","$500,000"
Black Tech Nation Ventures,https://btn.vc,"213 Smithfield Street, Pittsburgh, PA",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in Black and diverse startup founders and/or teams in the USA. We like SaaS, online marketplaces, AI, and blockchain companies, but we welcome other models as long as your product is highly reliant on technology. We invest nationally in startups creating solutions within the areas of finance, education, healthcare, sustainability, infrastructure, and within specific cultural communities.
",VC,"$200,000","$1,000,000"
BlackFin Tech,https://www.blackfin-tech.com/,"15 rue de Laborde, 75008 Paris, France","France,Germany,UK,Spain,Denmark,Belgium,Portugal,Austria,Sweden","3. Early Revenue,4. Scaling,5. Growth",We invest in fast growing fintechs and insurtechs in Europe. Accross stages.,VC,"$1,000,000","$30,000,000"
Blackhorn Ventures,https://blackhornvc.com/,"1800 Wazee St, 3rd floor, Denver, Colorado 80202, US","Mexico,USA,UK,Australia","2. Prototype,3. Early Revenue","We invest in solutions improving resource efficiency in the Built Environment, Energy/Electrification, and Transportation & Logistics sectors. ",VC,"$100,000","$8,000,000"
BlackSheep MadTech Fund,https://blacksheep.ventures/,"Camperio 4, Milano, 20100 Italy","Italy,Sweden,Albania,France,Austria,Denmark,Spain,Germany,UK,Poland,Netherlands","3. Early Revenue,4. Scaling,5. Growth","We invest in the marketing and advertising technology industry.
We look for European tech companies which will transform the marketing industry through Big Data, A/I and Robotic Processes Automation technologies.",VC,"$500,000","$5,000,000"
BlackTech Capital,https://blacktechcapital.com,"Ontario, Canada","Canada,USA","3. Early Revenue,4. Scaling","We invest in preseed/seed stage Black and other underrepresented entrepreneurs in ClimateTech/CleanTech that have a strong, clear path to revenue, who's solution solves a meaningful aspect of the climate crisis. Hard value cap at $10M.",VC,"$50,000","$500,000"
