Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
MAIF Impact,https://entreprise.maif.fr/engagements/economie-responsable/maif-impact,"156 rue de l'université, Paris",France,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in impact start-ups, mostly in Seed or Series A. We are sector agnostic, but impact must be a core composant of the business model. ",Corporate VC,"$300,000","$2,000,000"
main incubator,https://main-incubator.com/,"Eschersheimer Landstraße 6, 60322 Frankfurt am Main","Germany,Sweden,UK,Netherlands,Switzerland,Austria","3. Early Revenue,2. Prototype","We invest in Pre-Seed & Seed stage FinTechs, GreenTechs, PropTechs, B2B SaaS",Corporate VC,"$250,000","$1,000,000"
Majinx Capital,https://majinx.io,"Ukraine, Kyiv","Ukraine,Belgium,France,UK,UAE,Poland,Turkey,Malta","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in Infrastructure, dApps, DeFi, and other exciting stuff in the Web3 world. ",VC,"$10,000","$500,000"
Make Studios,https://www.makeit-studio.com/,"925 N La Brea Ave, 4th Floor, Los Angeles, California 90038, US",USA,"1. Idea or Patent,2. Prototype","We invest in idea-stage startups and bring them from 0 to revenue within 6 months. Focused on B2B SaaS solutions. 

We mainly look at the problem you are trying to solve and at the founder-product fit, not the idea itself. ",Startup studio,"$25,000","$75,000"
Malaika Ventures,https:www.malaikaventures.com,"50 Milk St, FL 15, Boston, MA 02109","USA,Canada","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre-seed and seed stage climate tech companies. Operating at the intersection of climate, technology, and inclusion we provide catalytic capital to to next-generation founders building scalable climate solutions to enable a just transition. ",VC,"$250,000","$1,500,000"
Malpani Ventures,https://www.malpaniventures.com,"BKC, Mumbai, Maharashtra, India - 400071",India,"2. Prototype,3. Early Revenue","We invest in early revenue/ traction India focused companies across software/ SAAS, education and healthcare",Family office,"$100,000","$300,000"
Mandalay Ventures,http://www.mandalay.vc/,"Office C1C, 8 Carraway Street, Kelvin Grove QLD Australia 4059",Australia,"3. Early Revenue,4. Scaling",We invest in the most exciting agtech and foodtech companies with global aspirations to sustainably feed the world's growing population.,VC,"$100,000","$1,000,000"
Mandi Ventures,https://www.mandiventures.com/,"São Paulo, BR","Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Sant Kitts and Nevis,Sant Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,USA,Uruguay,Venezuela,Albania,Andorra,Armenia,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in Foodtech and Agtech,VC,,
Manifold Ventures,https://www.manifold.group/ventures,"118 N Peoria St., Chicago, Illinois 60607, US","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, North American companies.",VC,"$250,000","$1,000,000"
Maniv Mobility,https://www.maniv.com/,"Derech Menachem Begin 144, Tel Aviv-Yafo","Brazil,Canada,Mexico,USA,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,UK,Israel,UAE,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in the world's leading mobility start-ups changing the way people and goods move around the world.,VC,"$1,000,000","$5,000,000"
Maor Investments,https://www.maorinvestments.com,"28th Haarba'a st, Tel Aviv, Israel 6473927, IL",Israel,"5. Growth,6. Pre-IPO,4. Scaling","We invest in Israeli-related startups in their growth stage, as co-investors, and help them to scale in Europe.",VC,"$3,000,000","$5,000,000"
Marathon Venture Capital,https://marathon.vc,"5-7 Lempesi Str, 117 42 Acropolis, Athens, Greece",Greece,"2. Prototype,3. Early Revenue",We invest in ambitious Greek founders who build world-class technology companies.,VC,"$500,000","$2,000,000"
