id,name,round,location,sector,website,status,slug
1658,TenOneTen Ventures,"Seed, Pre-Seed",United States,"AI, Automation, B2B, Enterprise, Fintech, Gaming, Health Care, Infrastructure, Logistics, Manufacturing, Real Estate, Retail, SaaS,  Healthtech",https://www.tenoneten.net/,Active,tenoneten-ventures
4730,TenX2,Seed,,,https://www.tenx2.com/,,tenx2
1659,Tenzing Capital Ventures,"Seed, Series A, Pre-Seed",United States,"AI, Analytics, API, Applications, Automation, B2B, Developer Tools,  Insurtech, eCommerce, Data Science, Digital Health, E-Commerce, Enterprise, Fintech, Privacy and Security, Platforms, B2B SaaS, SaaS, Cloud, B2B Software, Insurtech, DevOps",https://www.tenzing.vc,Active,tenzing-capital-ventures
202,Tera Ventures,"Seed, Early Stage",Estonia,Tech,https://www.tera.vc,Active,tera-ventures
2906,Tesi,"Seed, Series A, Series B",Finland,"Digital Media, E-Commerce, Financial Services, Music, Software, Manufacturing, Health Care",https://tesi.fi/en/,Active,tesi
136,Tesi (Finnish Industry Investment),Various stages,Finland,Diverse Industries,https://tesi.fi/,Active,tesi-(finnish-industry-investment)
1661,Tet Ventures,Early Stage,,"Consumer, Education, Commerce, Climate Tech, CPG, Supply Chain, Food and Beverage, FoodTech",https://www.tet.vc,Active,tet-ventures
2907,Texas Next Capital,"Series A, Series B",United States,"Health Care, Infrastructure, Food and Beverage, Transportation, Logistics",https://texasnextcapital.com,Active,texas-next-capital
2908,Texas Ventures,"Seed, Series A",United States,"Fintech, Software, E-Commerce, Health Care, Life Sciences, Financial Services",https://www.texasventures.com/,Active,texas-ventures
2909,Thayer Ventures,"Seed, Series A",United States,"Transportation, Travel and Tourism",https://www.thayerventures.com/,Active,thayer-ventures
907,The Abraaj Group,Various Stages,United Arab Emirates,Diverse secto,https://www.abraaj.com,Active,the-abraaj-group
4734,The Angels' Forum,Angel,United States,,https://angelsforum.com,Active,the-angels'-forum
4735,The Aria Group,"Seed, Series A",Hong Kong,,https://www.ariagp.io/,,the-aria-group
1662,The Artemis Fund,Seed,United States,"Fintech, Care Economy , eCommerce",https://www.theartemisfund.com,Active,the-artemis-fund
4737,The Cage,Pre-Seed,Hong Kong,,https://www.lanecrawford.com.cn/,,the-cage
2911,The Carlyle Group,"Seed, Series A, Series B, Series C, Growth",United States,"Financial Services, Software, IT",https://carlyle.com,Active,the-carlyle-group
483,The Chennai Angels,Seed/Early-stage,India,Various sectors,https://www.thechennaiangels.com,Active,the-chennai-angels
4739,The Commonwealth Group,Seed,United States,,https://commonwealthltd.net,Active,the-commonwealth-group
2912,The Cove Fund,Seed,United States,"Life Sciences, Health Care, Software, SaaS, E-Commerce, Analytics",https://www.covefund.com/,Active,the-cove-fund
4740,The Cross Country Group,"Series A, Series B",United States,,https://www.ccgroup.com/,,the-cross-country-group
4742,The eFactory,Accelerator,United States,,https://efactory.missouristate.edu,,the-efactory
2913,The Engine,"Pre-Seed, Seed, Series A, Series B, Growth",United States,"Energy, AI, Food and Beverage, Agriculture, Life Sciences, Biotechnology, Robotics, Health Care, Hardware",https://engine.xyz,Active,the-engine
2914,The Enspire Group,Seed,,Software,https://enspiregroup.com,Active,the-enspire-group
997,The Faktory,"Seed, Series A",Belgium,Industrial Internet of Things,https://www.thefaktory.com,Active,the-faktory
573,The Family,Seed/Early-stage,France,Various sectors,https://www.thefamily.co,Active,the-family
4744,The FinLab,"Pre-Seed, Seed",Singapore,,https://thefinlab.com,,the-finlab
1663,The Fintech Fund,"Pre-Seed, Seed",United States,"Financial Services, Fintech, Defi",https://www.thefintechfund.com,Active,the-fintech-fund
2915,The Food Foundry,"Accelerator, Pre-Seed, Startup Studio (Lab)",United States,"Food and Beverage, Supply Chain Management, Transportation, Logistics",https://www.thefoodfoundry.com/,Active,the-food-foundry
4745,The Glitch,Pre-Seed,India,,https://theglitch.in,,the-glitch
4746,The Graduate Syndicate,Seed,United States,,https://www.thegraduatesyndicate.com/,,the-graduate-syndicate
1664,The Group Ventures,"Series A, Early Stage",,"B2B, Analytics, Software",https://www.thegroup.ventures,Active,the-group-ventures
1665,The Helm,"Seed, Series A, Pre-Seed",United States,"Underrepresented, Women's Health, Climate Tech, Sustainability, Fintech, Care Economy ",https://thehelm.co/invest/,Active,the-helm
2916,The House Fund,"Pre-Seed, Seed",United States,"Software, AI, IT, Fintech, Blockchain, Agnostic",http://www.thehouse.fund/,Active,the-house-fund
1666,The Impact Engine,"Seed, Series A",United States,"Agriculture, Digital Health, Education, Fintech, Health Care, Software, Underrepresented, Sustainability, Supply Chain Management, Financial Services, SaaS, Marketplaces, Enterprise",https://www.theimpactengine.com/,Active,the-impact-engine
1667,The JumpFund,"Seed, Series A, Series B",United States,"Underrepresented, Software, Health Care, IT, Impact, Agnostic",https://www.thejumpfund.com,Active,the-jumpfund
4748,The Junction,Accelerator,Israel,,https://www.f2vc.com/the-junction,,the-junction
4750,The Mills Fabrica,"Pre-Seed, Seed, Series A",Hong Kong,,https://www.themillsfabrica.com/,,the-mills-fabrica
4752,The MXA Group,"Seed, Series A, Series B, Series C",Hong Kong,,https://www.linkedin.com/company/the-mxa-group,,the-mxa-group
4754,The North West Fund,"Seed, Series A, Series B",United Kingdom,,https://www.thenorthwestfund.co.uk/,,the-north-west-fund
868,The Private Office of Sheikh Saeed Bin Ahmed Al Maktoum,Various Stages,United Arab Emirates,"Tech, Real Estate, Healthcare, and more",https://seedgroup.com/,Active,the-private-office-of-sheikh-saeed-bin-ahmed-al-maktoum
4757,The Seed Lab,Seed,,,https://theseedlab.com,,the-seed-lab
4760,The Trelys Funds,"Series A, Series B, Growth",United States,,https://trelys.com,,the-trelys-funds
1668,TheVentureCity,"Accelerator, Pre-Seed, Seed, Series A",United States,"Agnostic, Software",https://www.theventure.city/,Active,theventurecity
4761,TheVentureCity Growth Accelerator,Accelerator,United States,,https://www.theventure.city/en/our-city/theventurecity-boutique-growth-accelerator,,theventurecity-growth-accelerator
1669,The Venture Collective (TVC),"Pre-Seed, Seed",United States,"B2B, B2B2C, B2C, Biotechnology, Consumer, Consumer Goods, Consumer Services, Crypto, Deep Tech, Digital Health, E-Commerce, Education, Femtech, Financial Services, Fintech, Health Care, Impact, Infrastructure, Life Sciences, Marketplaces, Mobile, Music, Platforms, Remote, SaaS, SMB, Sustainability, Underrepresented, Women's Health, Climate Tech, Care Economy , Space, web3, Tech-Enabled Services, Future of Work, BNPL, Community, Agnostic",https://www.theventurecollective.com,Active,the-venture-collective-(tvc)
2918,The Venture Reality Fund,"Series A, Series B",United States,"VR/AR, Consumer",https://www.thevrfund.com/,Active,the-venture-reality-fund
4762,The Vertical Group,"Series A, Series B",United States,,https://www.vertical-group.com/,,the-vertical-group
2919,The Westly Group,"Series A, Series B",United States,"Analytics, Transportation, Software, AI",https://westlygroup.com,Active,the-westly-group
2920,ThinkZone Ventures,Pre-Seed,,Advertising,https://thinkzone.vn,Active,thinkzone-ventures
1670,Third Prime,"Seed, Series A, Early Stage",United States,"Fintech, Prop Tech, Crypto",https://www.thirdprime.vc/,Active,third-prime
782,Thorney Investment Group,Various stages,Australia,Various Sectors,https://www.thorney.com.au,Active,thorney-investment-group
260,Thrive Capital,"Seed, Early-stage",United States,"Technology, Media",https://thrivecap.com/,Active,thrive-capital
4773,TiE Boston Angels,"Seed, Angel",United States,,http://tieboston.org/,Active,tie-boston-angels
4776,Tigress Ventures,Pre-Seed,United States,,https://tigressfp.com,,tigress-ventures
4777,TIIN Capital,"Series A, Series B",,,https://www.tincapital.vc/,,tiin-capital
4778,TILT,Series B,,,https://www.tilt.com.sg/,,tilt
4779,Timeal,Startup Studio (Lab),United States,,https://timeal.com,,timeal
1672,TIMIA Capital,"Pre-Seed, Seed, Series A, Series B, Alt. VC",Canada,"Agnostic, B2B, SaaS, Software, IoT, Hardware, Computing, Enterprise",https://timiacapital.com,Active,timia-capital
4780,Timon Capital,"Seed, Growth",,,https://www.timoncapital.com/,,timon-capital
4781,Tinicum,"Series A, Series B",United States,,https://www.tinicum.com/,,tinicum
1673,Tiny Capital,Seed,Canada,"Developer Tools, Applications, B2B, Digital Health, Digital Media, E-Commerce, Software, SaaS, Sales and Marketing, Agnostic",https://www.tinycapital.com/,Active,tiny-capital
2922,TinySeed,"Accelerator, Seed, Alt. VC",United States,"SaaS, Software",https://tinyseed.com,Active,tinyseed
2923,TitletownTech,"Seed, Series A",United States,"Media and Entertainment, Digital Health, Energy, Agriculture, Manufacturing, Supply Chain Management",https://www.titletowntech.com/,Active,titletowntech
4786,TMCx Accelerator,"Accelerator, Seed",United States,,https://www.tmc.edu/innovation/innovation-programs/,,tmcx-accelerator
2924,TNB Aura,"Pre-Seed, Seed, Series A, Series B",Singapore,Consumer,https://tnbaura.vc,Active,tnb-aura
1674,Toba Capital,"Seed, Series A",United States,"Applications, Automation, AI, Analytics, B2B, Enterprise, Platforms, SaaS, Sales and Marketing, SMB, Software, Sustainability, Agnostic",https://tobacapital.com,Active,toba-capital
2926,Tola Capital,"Seed, Series A",United States,"Enterprise, Software, SaaS, Analytics, IT",https://tolacapital.com,Active,tola-capital
2927,Tomahawk VC,"Pre-Seed, Seed, Series A",Switzerland,"Fintech, Defi",https://www.tomahawk.vc/,Active,tomahawk-vc
1675,Top Tier Capital Partners,"Growth, Series B",United States,"Enterprise, E-Commerce, SaaS, Education, Financial Services, Software, IT",https://ttcp.com,Active,top-tier-capital-partners
2928,Torch Capital,"Pre-Seed, Seed, Series A",United States,"Media and Entertainment, E-Commerce, Marketplaces, Real Estate, Fintech, Lifestyle and Wellness, B2C, Consumer, Health Care",https://www.torchcapital.vc/,Active,torch-capital
1676,Torho Technologies,"Pre-Seed, Seed",South Africa,"Consumer tech, Media and Entertainment, Advertising, AI, Applications, B2B2C, B2B, B2C, Consumer, Digital Media, E-Commerce, Fintech, Impact, Lending and Investments, SaaS",https://info429090.wixsite.com/website,Active,torho-technologies
4787,Total Access Communication Public Company,"Seed, Series A",,,https://www.dtac.co.th/home.html,,total-access-communication-public-company
1677,Touchdown Ventures,"Seed, Series A, Series B, Series C, Growth",United States,"Enterprise, Media and Entertainment, Consumer Goods, Legal Tech, Sustainability, Information Technology, Digital Media, Consumer, Health, Agnostic",https://www.touchdownvc.com/,Active,touchdown-ventures
4789,Touradji Capital Management,"Series A, Series B",United States,,https://touradji.com,,touradji-capital-management
1678,Town Hall Ventures,"Seed, Series A, Series B, Series C, Growth",,Health Care,https://www.townhallventures.com,Active,town-hall-ventures
2929,TPG Capital,"Seed, Series A, Series B, Growth",United States,"Software, Health Care, Financial Services, Biotechnology, Manufacturing, Agnostic",https://www.tpg.com/,Active,tpg-capital
1679,TPO (The Pritzker Organization),"Series A, Series B, Seed",United States,Agnostic,https://pritzkerorg.com,Active,tpo-(the-pritzker-organization)
1680,TPY Capital,"Seed, Series A, Series B",Israel,"AI, Analytics, B2B, Automation, Deep Tech, Developer Tools, Digital Health, Enterprise, Fintech, Infrastructure, Software, SaaS",https://www.tpycapital.com/,Active,tpy-capital
528,Tracxn Labs,Seed/Early-stage,India,Various sectors,https://tracxn.com/,Active,tracxn-labs
2930,Trammell Venture Partners,Seed,United States,"AI, Privacy and Security, Blockchain",https://tvp.fund,Active,trammell-venture-partners
1681,Transcend Fund,"Pre-Seed, Seed, Series A",,"Gaming, Digital Media, Media and Entertainment, VR/AR",https://www.transcend.fund,Active,transcend-fund
861,Transcorp International,Various Stages,United Arab Emirates,Diverse Sectors,https://www.transcorp-intl.com,Active,transcorp-international
2931,Transition Level Investments,"Pre-Seed, Seed, Series A",Australia,Agnostic,https://transitionlevel.com,Active,transition-level-investments
2932,TransLink Capital,"Seed, Series A, Series B",United States,"Gaming, Financial Services, Mobile",https://www.translinkcapital.com/,Active,translink-capital
1682,Travel Capitalist Ventures,"Seed, Series A, Series B, Growth",,Travel and Tourism,https://travelcapitalist.com,Active,travel-capitalist-ventures
4792,Tredegar Investments,"Series A, Series B, Series C, Growth",United States,,https://tredegar.com,,tredegar-investments
2933,Trestle Partners,"Seed, Series A, Series B",United States,"SaaS, Retail",https://trestlelp.com,Active,trestle-partners
4793,Triangle Startup Factory,Pre-Seed,United States,,https://www.businessinsuranceusa.com/news/business-start-up-help/incubator-lessons-for-the-startup-entrepreneur/,,triangle-startup-factory
422,Triangle Venture Capital,Seed/Early-stage,Germany,"Tech, Software",https://www.triangle-venture.com,Active,triangle-venture-capital
4794,Triathlon Medical Venture Partners,"Series A, Series B, Series C, Growth",United States,,https://tmvp.com,,triathlon-medical-venture-partners
87,Triaxis Capital,"Pre-seed, Seed",Brazil,"Technology, Health, Finance, Education",https://www.triaxiscapital.com,Active,triaxis-capital
4795,Tribe,Seed,United States,,https://tribe.pm,,tribe
